"Issue Date","Issue No","Tenor","Weighted Average Rate"
"11/11/2024","2603","91","13.4496"
"04/11/2024","2602","91","13.9656"
"28/10/2024","2601","91","14.4321"
"21/10/2024","2600","91","14.7657"
"14/10/2024","2599","91","14.99"
"07/10/2024","2598","91","15.6855"
"30/09/2024","2597","91","15.7183"
"23/09/2024","2596","91","15.7463"
"16/09/2024","2595","91","15.7502"
"09/09/2024","2594","91","15.7677"
"02/09/2024","2593","91","15.7844"
"26/08/2024","2592","91","15.794"
"19/08/2024","2591","91","15.8094"
"12/08/2024","2590","91","15.8177"
"05/08/2024","2589","91","15.9884"
"29/07/2024","2588","91","16"
"22/07/2024","2587","91","16.0215"
"15/07/2024","2586","91","15.9954"
"08/07/2024","2585","91","15.9868"
"01/07/2024","2584","91","15.9771"
"24/06/2024","2583","91","15.9716"
"17/06/2024","2582","91","15.9719"
"10/06/2024","2581","91","15.9654"
"03/06/2024","2580","91","15.9545"
"27/05/2024","2579","91","15.9453"
"20/05/2024","2578","91","15.937"
"13/05/2024","2577","91","15.9036"
"06/05/2024","2576","91","15.8652"
"29/04/2024","2575","91","15.8232"
"22/04/2024","2574","91","15.8029"
"15/04/2024","2573","91","15.733"
"08/04/2024","2572","91","16.7243"
"01/04/2024","2571","91","16.729"
"25/03/2024","2570","91","16.7306"
"18/03/2024","2569","91","16.6976"
"11/03/2024","2568","91","16.6597"
"04/03/2024","2567","91","16.6218"
"26/02/2024","2566","91","16.5895"
"19/02/2024","2565","91","16.5539"
"12/02/2024","2564","91","16.5038"
"05/02/2024","2563","91","16.3747"
"29/01/2024","2562","91","16.2903"
"22/01/2024","2561","91","16.2347"
"15/01/2024","2560","91","16.1452"
"08/01/2024","2559","91","16.0589"
"01/01/2024","2558","91","15.9829"
"25/12/2023","2557","91","15.8831"
"18/12/2023","2556","91","15.7706"
"11/12/2023","2555","91","15.6348"
"04/12/2023","2554","91","15.5293"
"27/11/2023","2553","91","15.4426"
"20/11/2023","2552","91","15.3632"
"13/11/2023","2551","91","15.2867"
"06/11/2023","2550","91","15.1863"
"30/10/2023","2549","91","15.1112"
"23/10/2023","2548","91","15.0458"
"16/10/2023","2547","91","14.9604"
"09/10/2023","2546","91","14.8734"
"02/10/2023","2545","91","14.8206"
"25/09/2023","2544","91","14.7866"
"18/09/2023","2543","91","14.5151"
"11/09/2023","2542","91","14.2337"
"04/09/2023","2541","91","13.9851"
"28/08/2023","2540","91","13.7332"
"21/08/2023","2539","91","13.4754"
"14/08/2023","2538","91","13.1104"
"07/08/2023","2537","91","12.6855"
"31/07/2023","2536","91","12.352"
"17/07/2023","2534","91","12.109"
"10/07/2023","2533","91","12.014"
"03/07/2023","2532","91","11.904"
"26/06/2023","2531","91","11.785"
"19/06/2023","2530","91","11.64"
"12/06/2023","2529","91","11.414"
"05/06/2023","2528","91","11.103"
"29/05/2023","2527","91","10.832"
"22/05/2023","2526","91","10.518"
"15/05/2023","2525","91","10.41"
"08/05/2023","2524","91","10.318"
"01/05/2023","2523","91","10.275"
"24/04/2023","2522","91","10.159"
"17/04/2023","2521","91","10.072"
"10/04/2023","2520","91","10.004"
"03/04/2023","2519","91","9.907"
"27/03/2023","2518","91","9.829"
"20/03/2023","2517","91","9.78"
"13/03/2023","2516","91","9.742"
"06/03/2023","2515","91","9.698"
"27/02/2023","2514","91","9.655"
"20/02/2023","2513","91","9.623"
"13/02/2023","2512","91","9.601"
"06/02/2023","2511","91","9.581"
"30/01/2023","2510","91","9.538"
"23/01/2023","2509","91","9.474"
"16/01/2023","2508","91","9.425"
"09/01/2023","2507","91","9.392"
"02/01/2023","2506","91","9.369"
"26/12/2022","2505","91","9.37"
"19/12/2022","2504","91","9.356"
"12/12/2022","2503","91","9.327"
"05/12/2022","2502","91","9.275"
"28/11/2022","2501","91","9.237"
"21/11/2022","2500","91","9.191"
"14/11/2022","2499","91","9.173"
